hour,day_of_week,total_flow,AUTOS,PICK UP,BUS,SERVICIO DE TRANSP URBANO,CAMION LIGERO,CAMION MEDIANO,CAMION PESADO,ARTICULADOS
6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0,218.0,104.0,67.0,6.0,23.0,7.0,5.0,1.0,5.0
6.75,0,199.0,108.0,63.0,4.0,14.0,7.0,2.0,1.0,0.0
7.0,0,201.0,108.0,59.0,8.0,14.0,3.0,3.0,5.0,1.0
7.25,0,247.0,120.0,81.0,8.0,18.0,6.0,6.0,7.0,1.0
7.5,0,167.0,68.0,70.0,5.0,14.0,4.0,3.0,3.0,0.0
7.75,0,192.0,106.0,49.0,7.0,13.0,10.0,3.0,2.0,2.0
8.0,0,147.0,73.0,43.0,4.0,14.0,5.0,5.0,1.0,2.0
8.25,0,166.0,60.0,62.0,4.0,14.0,13.0,7.0,3.0,3.0
8.5,0,241.0,122.0,61.0,8.0,15.0,18.0,4.0,10.0,3.0
8.75,0,144.0,67.0,43.0,2.0,16.0,8.0,2.0,4.0,2.0
9.0,0,142.0,61.0,42.0,3.0,11.0,12.0,3.0,7.0,3.0
9.25,0,162.0,60.0,53.0,6.0,12.0,16.0,5.0,6.0,4.0
9.5,0,155.0,52.0,54.0,2.0,14.0,18.0,4.0,3.0,8.0
9.75,0,188.0,81.0,59.0,6.0,15.0,16.0,2.0,6.0,3.0
10.0,0,177.0,71.0,57.0,4.0,17.0,15.0,2.0,8.0,3.0
10.25,0,175.0,85.0,49.0,5.0,13.0,14.0,0.0,8.0,1.0
10.5,0,173.0,68.0,52.0,4.0,13.0,19.0,3.0,10.0,4.0
10.75,0,145.0,68.0,31.0,4.0,16.0,13.0,4.0,6.0,3.0
11.0,0,194.0,80.0,54.0,6.0,18.0,19.0,3.0,9.0,5.0
11.25,0,130.0,52.0,39.0,2.0,11.0,15.0,1.0,9.0,1.0
11.5,0,156.0,57.0,53.0,4.0,19.0,11.0,2.0,6.0,4.0
11.75,0,155.0,61.0,39.0,5.0,13.0,15.0,4.0,11.0,7.0
12.0,0,139.0,55.0,47.0,4.0,10.0,13.0,3.0,4.0,3.0
12.25,0,139.0,55.0,37.0,7.0,18.0,10.0,6.0,3.0,3.0
12.5,0,152.0,57.0,41.0,4.0,12.0,25.0,4.0,6.0,3.0
12.75,0,149.0,65.0,46.0,4.0,10.0,16.0,1.0,4.0,3.0
13.0,0,158.0,66.0,38.0,6.0,14.0,16.0,3.0,11.0,4.0
13.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.25,0,213.0,102.0,47.0,10.0,21.0,18.0,3.0,8.0,4.0
14.5,0,197.0,84.0,49.0,4.0,20.0,20.0,3.0,8.0,9.0
14.75,0,176.0,74.0,47.0,7.0,16.0,11.0,2.0,13.0,6.0
15.0,0,159.0,70.0,34.0,8.0,16.0,13.0,3.0,12.0,3.0
15.25,0,174.0,70.0,55.0,4.0,15.0,13.0,2.0,9.0,6.0
15.5,0,167.0,77.0,50.0,6.0,11.0,14.0,1.0,4.0,4.0
15.75,0,175.0,74.0,50.0,3.0,14.0,19.0,4.0,7.0,4.0
16.0,0,145.0,54.0,42.0,7.0,15.0,8.0,2.0,7.0,10.0
16.25,0,153.0,67.0,40.0,2.0,11.0,16.0,3.0,9.0,5.0
16.5,0,132.0,60.0,45.0,5.0,7.0,8.0,2.0,3.0,2.0
16.75,0,153.0,65.0,43.0,4.0,13.0,13.0,3.0,7.0,5.0
17.0,0,146.0,66.0,40.0,5.0,11.0,11.0,3.0,7.0,3.0
17.25,0,141.0,68.0,35.0,3.0,9.0,7.0,6.0,7.0,6.0
17.5,0,168.0,89.0,37.0,7.0,12.0,14.0,3.0,3.0,3.0
17.75,0,152.0,76.0,34.0,5.0,13.0,13.0,4.0,3.0,4.0
18.0,0,141.0,65.0,36.0,8.0,10.0,12.0,3.0,4.0,3.0
18.25,0,175.0,84.0,43.0,3.0,17.0,15.0,5.0,4.0,4.0
18.5,0,150.0,72.0,30.0,6.0,14.0,9.0,6.0,7.0,6.0
